19:37:33 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:33 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1843,875)
19:37:33 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:33 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1844,877)
19:37:33 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:33 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,876)
19:37:33 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:33 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,874)
19:37:33 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:33 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1840,876)
19:37:34 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:34 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1843,875)
19:37:34 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:34 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1840,874)
19:37:34 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:34 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1844,877)
19:37:34 [INFO   ] [ZoneWatcher] Scan #19 for 'High Court Maze' (39s in map, cache=1 pts)
19:37:34 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:34 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:34 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:34 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,877)
19:37:34 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:34 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,877)
19:37:34 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:35 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,874)
19:37:35 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:35 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1840,878)
19:37:35 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:35 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,877)
19:37:35 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:35 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,875)
19:37:35 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:35 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,874)
19:37:35 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:36 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1840,877)
19:37:36 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:36 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1840,877)
19:37:36 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:36 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1840,875)
19:37:36 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:36 [INFO   ] [ZoneWatcher] Scan #20 for 'High Court Maze' (41s in map, cache=1 pts)
19:37:36 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:36 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:36 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,875)
19:37:36 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:36 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,875)
19:37:36 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:36 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,877)
19:37:37 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:37 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,878)
19:37:37 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:37 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,876)
19:37:37 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:37 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,874)
19:37:37 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:37 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,875)
19:37:37 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:37 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1844,876)
19:37:37 [INFO   ] [Navigator] STUCK navigating to position - attempting escape
19:37:37 [INFO   ] [Navigator]   Escape angle: 0° -> screen (1152, 569)
19:37:38 [INFO   ] [Input] Hardware mouse move: client(1152,569) -> screen(1784,726)
19:37:38 [INFO   ] [ZoneWatcher] Scan #21 for 'High Court Maze' (43s in map, cache=1 pts)
19:37:38 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:38 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:39 [INFO   ] [Navigator]   Moved 32 units during escape
19:37:39 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:39 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,878)
19:37:39 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:39 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,878)
19:37:39 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:40 [INFO   ] [Navigator] Navigation timeout (15.0s) reached
